gender,region,education,income,customer lifetime value,policy type,vehicle class,monthly premium auto,total claim amount,number of open complaints
90,,North West,College,21513.0,13.1710128,Personal Auto,Two-Door Car,119.0,679.827592,0.0
91,F,East,College,37824.84705495949,15.9500195,Personal Auto,Two-Door Car,87.0,46.041452,0.0
92,,North West,Bachelor,80744.0,2.5276538,Corporate Auto,Four-Door Car,63.0,11.879037,0.0
93,,North West,Bachelor,52822.0,2.6720958,Corporate Auto,Two-Door Car,67.0,350.529033,0.0
94,,West Region,High School or Below,37824.84705495949,5.313294,Personal Auto,Four-Door Car,77.0,863.3947,0.0
95,,North West,Bachelor,69738.0,20.9461925,Personal Auto,Four-Door Car,74.0,492.127532,0.0
96,,Central,Master,17780.0,8.3753539,Personal Auto,SUV,109.0,132.588288,0.0
97,,West Region,Bachelor,18107.0,4.8016615,Personal Auto,Four-Door Car,62.0,297.6,0.0
98,,Central,Bachelor,57740.0,5.7459432999999995,Personal Auto,Four-Door Car,74.0,269.905129,0.0
99,,North West,College,32627.0,6.066116,Personal Auto,Two-Door Car,76.0,380.036697,0.0
100,,West Region,College,37824.84705495949,8.0023083,Personal Auto,SUV,107.0,513.6,0.0
101,,West Region,College,37824.84705495949,2.3939154,Personal Auto,Four-Door Car,70.0,425.266308,0.0
102,,North West,Bachelor,65795.0,4.7628179,Corporate Auto,Two-Door Car,62.0,49.011099,0.0
103,,West Region,College,60475.0,4.330386,Personal Auto,Four-Door Car,107.0,513.6,0.0
104,,West Region,High School or Below,37824.84705495949,9.4027298,Personal Auto,SUV,130.0,936.0,0.0
105,,North West,Bachelor,41837.0,6.966694499999999,Personal Auto,Four-Door Car,88.0,142.062768,0.0
106,,West Region,Bachelor,32303.0,7.694064300000001,Personal Auto,Four-Door Car,65.0,45.152521,0.0
107,,North West,High School or Below,37824.84705495949,8.7175611,Personal Auto,SUV,117.0,561.6,0.0
108,,West Region,Bachelor,40531.0,5.9287485,Personal Auto,Two-Door Car,74.0,30.567357,0.0
109,,North West,College,79898.0,2.4529773,Corporate Auto,Four-Door Car,62.0,271.606799,0.0
110,,West Region,College,56398.0,6.701571700000001,Personal Auto,Four-Door Car,85.0,408.0,0.0
111,M,East,High School or Below,71600.0,4.9965527000000005,Personal Auto,Two-Door Car,63.0,46.158117,0.0
112,,Central,College,27804.0,8.4926988,Personal Auto,SUV,109.0,784.8,0.0
113,,North West,Bachelor,45506.0,7.713494,Personal Auto,Four-Door Car,66.0,316.8,0.0
114,F,East,Master,99428.0,5.1857976,Personal Auto,Four-Door Car,6464.0,48.046869,0.0
115,,West Region,High School or Below,37824.84705495949,7.2900697999999995,Corporate Auto,SUV,102.0,489.6,0.0
116,,North West,High School or Below,20993.0,4.7729438,Personal Auto,SUV,133.0,638.4,0.0
117,,Central,High School or Below,37839.0,6.8064914000000005,Personal Auto,Two-Door Car,86.0,465.633954,0.0
118,,West Region,Bachelor,92711.0,2.4697813,Personal Auto,Two-Door Car,62.0,368.400146,0.0
119,,West Region,College,74665.0,3.103923,Corporate Auto,Four-Door Car,78.0,236.902001,0.0
120,F,East,College,61108.0,10.4849154,Personal Auto,Four-Door Car,89.0,49.451117,0.0
121,,West Region,Bachelor,46833.0,8.9027376,Personal Auto,Sports Car,112.0,64.109663,0.0
122,,North West,High School or Below,88768.0,5.4994472,Personal Auto,Two-Door Car,68.0,326.4,0.0
123,,West Region,High School or Below,28262.0,15.023598600000001,Personal Auto,Luxury SUV,192.0,921.6,0.0
124,,Central,Bachelor,33555.0,2.5091079,Personal Auto,Four-Door Car,63.0,101.89645,0.0
125,,North West,College,42780.0,31.2217481,Personal Auto,Four-Door Car,113.0,542.4,0.0
126,,North West,Master,58850.0,3.1335034000000004,Personal Auto,Four-Door Car,78.0,143.747794,0.0
127,,Central,College,21880.0,3.8374519,Special Auto,Four-Door Car,97.0,424.077159,0.0
128,,North West,College,25251.0,11.790496200000002,Personal Auto,Four-Door Car,66.0,316.8,0.0
129,F,East,High School or Below,25317.0,2.8298639000000003,Personal Auto,Two-Door Car,71.0,50.422181,0.0
130,,Central,High School or Below,24188.0,4.3058083,Personal Auto,Sports Car,109.0,523.2,0.0
131,,Central,Bachelor,41611.0,5.973976899999999,Special Auto,Four-Door Car,74.0,113.801497,0.0
132,,North West,Bachelor,28406.0,5.6704424,Personal Auto,Four-Door Car,72.0,192.87572,0.0
133,,Central,College,69833.0,4.7317493,Personal Auto,Four-Door Car,118.0,828.662719,0.0
134,,Central,High School or Below,37824.84705495949,8.0263796,Corporate Auto,Four-Door Car,74.0,532.8,0.0
135,,Central,High School or Below,37824.84705495949,4.0229634999999995,Personal Auto,SUV,117.0,975.107098,0.0
136,,North West,High School or Below,80536.0,9.618310899999999,Special Auto,Sports Car,119.0,53.798708,0.0
137,F,East,Bachelors,88891.0,7.2559538,Personal Auto,Four-Door Car,89.0,50.528355,0.0
138,,North West,College,97732.0,9.5529269,Personal Auto,Four-Door Car,79.0,289.9122,0.0
139,F,Central,Bachelor,61222.0,10.388553199999999,Special Auto,Four-Door Car,89.0,392.604371,0.0
140,M,North West,College,37824.84705495949,2.4701212,Personal Auto,Two-Door Car,74.0,721.242206,0.0
141,M,Central,Master,50335.0,5.6190685,Personal Auto,SUV,140.0,456.52385,0.0
142,F,West Region,High School or Below,37824.84705495949,9.047119200000001,Personal Auto,Sports Car,127.0,1087.995426,0.0
143,F,East,Doctor,82210.0,2.6873140999999996,Personal Auto,Four-Door Car,68.0,51.961915,0.0
144,F,North West,High School or Below,37824.84705495949,3.7315046,Personal Auto,Four-Door Car,96.0,460.8,0.0
145,M,Central,Bachelor,64495.0,3.6607703000000003,Corporate Auto,Four-Door Car,92.0,251.992083,0.0
146,F,West Region,College,37824.84705495949,7.9288293,Corporate Auto,Four-Door Car,72.0,345.6,0.0
147,F,Central,Bachelor,28859.0,5.011751599999999,Corporate Auto,Two-Door Car,67.0,321.6,0.0
148,F,Central,High School or Below,77330.0,7.988258299999999,Personal Auto,Four-Door Car,99.0,99.257608,0.0
149,M,North West,College,37824.84705495949,3.8854564000000003,Corporate Auto,Four-Door Car,105.0,504.0,0.0
150,F,East,High School or Below,33060.0,9.3577378,Personal Auto,Four-Door Car,117.0,56.731578,0.0
151,M,East,Master,42557.0,2.5406898,Personal Auto,Four-Door Car,65.0,57.562324,0.0
152,M,Central,High School or Below,26372.0,4.8851625,Personal Auto,SUV,126.0,604.8,0.0
153,F,Central,Bachelor,17514.0,9.753307099999999,Personal Auto,SUV,127.0,8.312729,0.0
154,F,West Region,Bachelor,89270.0,2.9461537,Personal Auto,Four-Door Car,74.0,316.599228,0.0
155,M,West Region,High School or Below,29757.0,2.5811109,Personal Auto,Four-Door Car,65.0,312.0,0.0
156,M,North West,College,51814.0,3.5173858,Personal Auto,Four-Door Car,92.0,56.300724,0.0
157,F,North West,Bachelor,24028.0,9.7433501,Personal Auto,Four-Door Car,82.0,393.6,0.0
158,M,Central,College,28142.0,3.873647,Personal Auto,Sports Car,105.0,701.708239,0.0
159,F,Central,Bachelor,52705.0,7.6492819999999995,Personal Auto,Two-Door Car,64.0,128.705563,0.0
160,M,West Region,High School or Below,37824.84705495949,2.2875969,Corporate Auto,Two-Door Car,63.0,679.368378,0.0
161,F,East,High School or Below,54040.0,8.2557639,Personal Auto,SUV,103.0,59.987126,0.0
162,F,West Region,College,37824.84705495949,8.714922099999999,Personal Auto,SUV,118.0,566.4,0.0
163,F,East,Doctor,22492.0,6.8192312,Personal Auto,Two-Door Car,85.0,61.654262,0.0
164,M,West Region,Bachelor,37824.84705495949,7.416197299999999,Personal Auto,Four-Door Car,77.0,554.4,0.0
165,M,North West,Master,21876.0,7.771159,Personal Auto,Four-Door Car,68.0,465.41477,0.0
166,F,West Region,Bachelor,37824.84705495949,6.9683418999999995,Personal Auto,Four-Door Car,69.0,496.8,0.0
167,F,West Region,High School or Below,37824.84705495949,4.2502826,Personal Auto,Four-Door Car,61.0,292.8,0.0
168,F,North West,High School or Below,70699.0,19.776566499999998,Personal Auto,Four-Door Car,82.0,256.813837,0.0
169,F,West Region,High School or Below,37824.84705495949,21.343466,Personal Auto,Four-Door Car,74.0,355.2,0.0
170,M,West Region,College,27501.0,2.4131397,Personal Auto,Four-Door Car,63.0,542.319401,0.0
171,F,North West,Doctor,15897.0,15.3638472,Personal Auto,Four-Door Car,101.0,303.148399,0.0
172,F,Central,College,25141.0,8.4569619,Personal Auto,Four-Door Car,73.0,25.438063,0.0
173,F,Central,College,37824.84705495949,2.1896425,Personal Auto,Four-Door Car,61.0,292.8,0.0
174,M,West Region,High School or Below,51066.0,5.7801822,Personal Auto,Four-Door Car,74.0,787.993313,0.0
175,F,West Region,Bachelor,28358.0,4.6399816,Personal Auto,Sports Car,117.0,84.024413,0.0
176,F,East,Doctor,62530.0,3.8244313,Personal Auto,Four-Door Car,95.0,61.693771,0.0
177,F,Central,Bachelor,90972.0,5.9681189,Personal Auto,Two-Door Car,74.0,232.926145,0.0
178,F,East,Bachelor,63110.0,8.590335,Personal Auto,Four-Door Car,72.0,68.179721,0.0
179,F,West Region,Bachelor,29549.0,4.0766347,Personal Auto,Sports Car,104.0,710.433775,0.0
180,F,West Region,Bachelor,37824.84705495949,12.252601799999999,Personal Auto,Four-Door Car,115.0,552.0,0.0
181,F,Central,Bachelor,39411.0,16.9362715,Personal Auto,Luxury Car,217.0,1122.658899,0.0
182,M,North West,High School or Below,21709.0,4.8924354999999995,Personal Auto,Four-Door Car,62.0,408.374746,0.0
183,M,Central,Bachelor,67890.0,9.9423048,Personal Auto,Four-Door Car,85.0,408.0,0.0
184,M,West Region,Bachelor,37824.84705495949,3.7358381,Personal Auto,SUV,110.0,792.0,0.0
185,F,West Region,High School or Below,84311.0,13.1175222,Personal Auto,SUV,111.0,532.8,0.0
186,F,West Region,College,99316.0,4.5745241,Corporate Auto,SUV,114.0,754.358929,0.0
187,F,Central,Bachelor,54507.0,5.470060600000001,Personal Auto,SUV,138.0,702.990032,0.0
188,F,West Region,Bachelor,64586.0,2.978846,Personal Auto,Four-Door Car,76.0,206.837111,0.0
189,M,North West,College,61709.0,6.4109675,Personal Auto,Four-Door Car,82.0,275.395894,0.0
190,M,West Region,Master,94656.0,4.4790231,Special Auto,SUV,111.0,459.738128,0.0
191,F,West Region,High School or Below,37824.84705495949,2.3837319,Special Auto,Two-Door Car,69.0,496.8,0.0
192,M,West Region,Bachelor,61085.0,2.7644937,Personal Auto,Two-Door Car,70.0,336.0,0.0
193,F,North West,Bachelor,89284.0,7.920105400000001,Personal Auto,Two-Door Car,67.0,321.6,0.0
194,F,Central,High School or Below,37824.84705495949,6.889098000000001,Personal Auto,Four-Door Car,63.0,302.4,0.0
195,F,East,Bachelor,31686.0,3.2741946000000004,Personal Auto,Four-Door Car,81.0,430.994107,0.0
196,M,North West,High School or Below,56855.0,9.9517077,Corporate Auto,Luxury SUV,255.0,1836.0,0.0
197,M,North West,Bachelor,53703.0,2.5215557,Special Auto,Four-Door Car,67.0,67.632476,0.0
198,F,East,High School or Below,37824.84705495949,23.7061134,Personal Auto,Two-Door Car,96.0,844.481918,0.0
199,M,West Region,College,20396.0,6.0470252,Personal Auto,Four-Door Car,76.0,364.8,0.0
200,F,West Region,Master,27679.0,11.1403025,Personal Auto,SUV,150.0,722.486994,0.0
201,F,Central,Bachelor,23904.0,4.3340641,Personal Auto,SUV,123.0,590.4,0.0
202,F,Central,High School or Below,65351.0,2.7997479,Corporate Auto,Four-Door Car,69.0,481.027516,0.0
203,M,West Region,College,37824.84705495949,7.9231366,Personal Auto,SUV,113.0,1124.427734,0.0
204,M,West Region,High School or Below,37824.84705495949,3.6881109000000003,Personal Auto,Four-Door Car,63.0,669.682001,0.0
205,M,West Region,College,37824.84705495949,12.067456000000002,Personal Auto,SUV,116.0,1284.093173,0.0
206,F,West Region,College,64459.0,2.9249766999999998,Personal Auto,Four-Door Car,72.0,240.259479,0.0
207,M,West Region,College,32961.0,15.0140927,Corporate Auto,SUV,190.0,912.0,0.0
208,F,North West,High School or Below,71416.0,9.2772338,Corporate Auto,SUV,116.0,556.8,0.0
209,F,East,Bachelor,68964.0,6.2741239,Personal Auto,Four-Door Car,78.0,115.086827,0.0
210,M,Cali,High School or Below,78108.0,3.8866473999999998,Personal Auto,Two-Door Car,98.0,470.4,0.0
211,M,Cali,College,10621.0,4.3862776,Special Auto,Four-Door Car,67.0,321.6,0.0
212,M,East,College,84910.0,11.3652677,Corporate Auto,Two-Door Car,95.0,383.167471,0.0
213,F,Cali,High School or Below,77493.0,5.610964300000001,Special Auto,Four-Door Car,70.0,307.963291,0.0
214,M,Central,College,81097.0,2.9128920000000003,Personal Auto,Four-Door Car,74.0,355.2,0.0
215,F,North West,College,96610.0,6.9157299,Corporate Auto,Four-Door Car,85.0,520.364752,0.0
216,M,North West,College,30110.0,6.2626633,Corporate Auto,Sports Car,159.0,466.436375,0.0
217,F,North West,High School or Below,22081.0,6.503397,Special Auto,Two-Door Car,84.0,451.670309,0.0
218,F,East,High School or Below,37824.84705495949,8.007399399999999,Personal Auto,Sports Car,112.0,537.6,0.0
219,M,Cali,College,98473.0,2.9299165,Personal Auto,Four-Door Car,72.0,345.6,0.0
220,F,North West,Bachelor,97431.0,5.969553,Personal Auto,Four-Door Car,74.0,355.2,0.0
221,M,Cali,Bachelor,93870.0,5.4731599,Personal Auto,Four-Door Car,69.0,331.2,0.0
222,M,Central,High School or Below,50366.0,5.6453967,Personal Auto,Four-Door Car,72.0,428.734656,0.0
223,M,East,High School or Below,34498.0,6.3692624,Personal Auto,Two-Door Car,83.0,398.4,0.0
224,F,North West,College,16552.0,11.8337673,Personal Auto,SUV,103.0,494.4,0.0
225,F,North West,College,26787.0,6.1211079,Personal Auto,Four-Door Car,77.0,369.6,0.0
226,M,Central,College,37824.84705495949,5.1593697,Personal Auto,Two-Door Car,74.0,831.752839,0.0
227,F,Central,High School or Below,43860.0,2.514592,Corporate Auto,Four-Door Car,65.0,156.124914,0.0
228,M,Central,High School or Below,21474.0,8.6686113,Corporate Auto,SUV,114.0,373.428187,0.0
229,M,Cali,Bachelor,18174.0,4.9609654,Corporate Auto,Four-Door Car,66.0,395.934815,0.0
230,F,Central,Bachelor,37824.84705495949,5.504139,Corporate Auto,Four-Door Car,73.0,350.4,0.0
231,M,Central,College,60920.0,7.5074554000000004,Personal Auto,Two-Door Car,64.0,231.201886,0.0
232,M,Central,High School or Below,41520.0,32.2698514,Personal Auto,Four-Door Car,90.0,289.904105,0.0
233,F,North West,Bachelor,37824.84705495949,5.657031600000001,Personal Auto,SUV,152.0,729.6,0.0
234,M,Central,High School or Below,37824.84705495949,5.0617579,Personal Auto,Two-Door Car,68.0,326.4,0.0
235,M,Cali,Bachelor,72208.0,5.9127838,Personal Auto,Two-Door Car,73.0,350.4,0.0
236,F,Cali,Bachelor,53863.0,15.1822798,Personal Auto,Four-Door Car,63.0,105.765111,0.0
237,M,East,College,66446.0,10.7470309,Corporate Auto,SUV,136.0,639.464548,0.0
238,M,East,College,37824.84705495949,2.0506235,Personal Auto,Four-Door Car,61.0,292.8,0.0
239,F,East,Bachelor,64997.0,2.4654449,Personal Auto,Four-Door Car,63.0,383.442328,0.0
240,F,Central,High School or Below,64460.0,5.3431213,Corporate Auto,Two-Door Car,66.0,316.8,0.0
241,F,Central,College,46618.0,8.1198291,Personal Auto,Four-Door Car,67.0,99.085943,0.0
242,F,North West,College,37824.84705495949,4.6052652,Corporate Auto,Four-Door Car,64.0,307.2,0.0
243,M,Cali,College,49988.0,6.408785600000001,Personal Auto,Two-Door Car,84.0,566.935022,0.0
244,F,Cali,College,37824.84705495949,2.3765335,Personal Auto,Two-Door Car,91.0,436.8,0.0
245,M,Cali,Bachelor,16269.0,3.21107,Corporate Auto,Two-Door Car,86.0,412.8,0.0
246,F,Central,Bachelor,72006.0,5.0945222999999995,Personal Auto,Four-Door Car,64.0,307.2,0.0
247,F,Central,High School or Below,37824.84705495949,25.7552782,Personal Auto,Four-Door Car,81.0,388.8,0.0
248,M,North West,Bachelor,37824.84705495949,8.672229699999999,Corporate Auto,Luxury SUV,245.0,2345.413441,0.0
249,M,Cali,Master,44320.0,8.044730699999999,Personal Auto,Four-Door Car,67.0,321.6,0.0
250,F,Central,High School or Below,19782.0,4.001519099999999,Personal Auto,Two-Door Car,108.0,773.470977,0.0
251,F,Central,Bachelor,63933.0,16.706117,Personal Auto,Two-Door Car,70.0,424.883448,0.0
252,M,Central,Doctor,28224.0,8.5444111,Personal Auto,SUV,109.0,523.2,0.0
253,F,East,College,21073.0,7.8053129000000006,Personal Auto,SUV,106.0,508.8,0.0
254,M,North West,Bachelor,63243.0,6.112756899999999,Personal Auto,Four-Door Car,77.0,364.240307,0.0
255,M,Central,High School or Below,20993.0,4.7729438,Personal Auto,SUV,133.0,638.4,0.0
256,F,North West,Bachelor,94827.0,10.9790956,Personal Auto,SUV,135.0,354.729129,0.0
257,F,Cali,Master,39161.0,5.0042638,Personal Auto,Two-Door Car,63.0,283.995953,0.0
258,M,East,Bachelor,37534.0,13.2230438,Personal Auto,Four-Door Car,84.0,403.2,0.0
259,F,North West,Bachelor,80210.0,2.6233153999999996,Corporate Auto,Four-Door Car,65.0,20.543176,0.0
260,M,Cali,Bachelor,37824.84705495949,17.8401956,Personal Auto,Four-Door Car,62.0,385.115437,0.0
261,F,Cali,College,30110.0,5.1061118,Personal Auto,Four-Door Car,64.0,140.165035,0.0
262,F,Central,College,21708.0,17.9306045,Personal Auto,Four-Door Car,68.0,326.4,0.0
263,M,Central,High School or Below,94731.0,5.4573426000000005,Personal Auto,Four-Door Car,67.0,321.6,0.0
264,M,Cali,Bachelor,32375.0,6.5636441,Personal Auto,Four-Door Car,83.0,398.4,0.0
265,M,North West,College,16531.0,4.8125252000000005,Corporate Auto,Four-Door Car,63.0,102.879769,0.0
266,F,Central,Master,32006.0,29.3280419,Corporate Auto,Four-Door Car,94.0,56.868289,0.0
267,F,Central,Bachelor,81676.0,5.7735207,Personal Auto,Two-Door Car,72.0,463.158502,0.0
268,M,Cali,College,71038.0,6.8471189,Corporate Auto,Four-Door Car,86.0,205.444066,0.0
269,F,Central,High School or Below,37824.84705495949,3.5953128999999997,Corporate Auto,Sports Car,103.0,741.6,0.0
270,F,Central,Master,20832.0,22.8556121,Personal Auto,Two-Door Car,65.0,56.371967,0.0
271,M,East,High School or Below,37824.84705495949,7.8594146,Personal Auto,SUV,113.0,813.6,0.0
272,M,North West,High School or Below,52405.0,4.1155774,Personal Auto,Four-Door Car,103.0,494.4,0.0
